"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Code\angular\pdx-map\src\app\map\config\MapDataProvider.ts", "TypeScript", 107, 0, 0, 9, 14, 130
"c:\Code\angular\pdx-map\src\app\map\map\map.component.html", "HTML", 0, 0, 1, 0, 0, 1
"c:\Code\angular\pdx-map\src\app\map\map\map.component.scss", "SCSS", 0, 69, 0, 0, 10, 79
"c:\Code\angular\pdx-map\src\app\map\map\map.component.ts", "TypeScript", 221, 0, 0, 1, 23, 245
"c:\Code\angular\pdx-map\src\app\mc\AssignmentService.ts", "TypeScript", 145, 0, 0, 3, 20, 168
"c:\Code\angular\pdx-map\src\app\mc\MCSignupService.ts", "TypeScript", 188, 0, 0, 1, 24, 213
"c:\Code\angular\pdx-map\src\app\mc\MegaCampaign.ts", "TypeScript", 31, 0, 0, 0, 8, 39
"c:\Code\angular\pdx-map\src\app\mc\MegaPlotService.ts", "TypeScript", 69, 0, 0, 0, 4, 73
"c:\Code\angular\pdx-map\src\app\mc\MegaService.ts", "TypeScript", 104, 0, 0, 3, 15, 122
"c:\Code\angular\pdx-map\src\app\mc\SignupAssetsService.ts", "TypeScript", 315, 0, 0, 6, 29, 350
"c:\Code\angular\pdx-map\src\app\mc\StartAssignment.ts", "TypeScript", 7, 0, 0, 0, 0, 7
"c:\Code\angular\pdx-map\src\app\mc\mcadmin\mcadmin.component.html", "HTML", 0, 0, 105, 1, 3, 109
"c:\Code\angular\pdx-map\src\app\mc\mcadmin\mcadmin.component.scss", "SCSS", 0, 116, 0, 1, 18, 135
"c:\Code\angular\pdx-map\src\app\mc\mcadmin\mcadmin.component.ts", "TypeScript", 310, 0, 0, 8, 30, 348
"c:\Code\angular\pdx-map\src\app\mc\mcsignup\ClusterManager.ts", "TypeScript", 32, 0, 0, 0, 9, 41
"c:\Code\angular\pdx-map\src\app\mc\mcsignup\mcsignup.component.html", "HTML", 0, 0, 75, 0, 3, 78
"c:\Code\angular\pdx-map\src\app\mc\mcsignup\mcsignup.component.scss", "SCSS", 0, 169, 0, 0, 26, 195
"c:\Code\angular\pdx-map\src\app\mc\mcsignup\mcsignup.component.ts", "TypeScript", 238, 0, 0, 2, 32, 272
"c:\Code\angular\pdx-map\src\app\mc\mcstartselect\mcstartselect.component.html", "HTML", 0, 0, 109, 0, 2, 111
"c:\Code\angular\pdx-map\src\app\mc\mcstartselect\mcstartselect.component.scss", "SCSS", 0, 233, 0, 0, 35, 268
"c:\Code\angular\pdx-map\src\app\mc\mcstartselect\mcstartselect.component.ts", "TypeScript", 213, 0, 0, 0, 22, 235
"c:\Code\angular\pdx-map\src\app\mc\mega-campaign\mega-campaign.component.html", "HTML", 0, 0, 76, 0, 1, 77
"c:\Code\angular\pdx-map\src\app\mc\mega-campaign\mega-campaign.component.scss", "SCSS", 0, 98, 0, 0, 10, 108
"c:\Code\angular\pdx-map\src\app\mc\mega-campaign\mega-campaign.component.ts", "TypeScript", 161, 0, 0, 0, 21, 182
"c:\Code\angular\pdx-map\src\app\modding\mega-modder\MegaModderE2VService.ts", "TypeScript", 319, 0, 0, 3, 44, 366
"c:\Code\angular\pdx-map\src\app\modding\mega-modder\mega-modder.component.html", "HTML", 0, 0, 27, 0, 1, 28
"c:\Code\angular\pdx-map\src\app\modding\mega-modder\mega-modder.component.scss", "SCSS", 0, 105, 0, 0, 17, 122
"c:\Code\angular\pdx-map\src\app\modding\mega-modder\mega-modder.component.ts", "TypeScript", 406, 0, 0, 2, 43, 451
"c:\Code\angular\pdx-map\src\app\modding\mega-modder\pop-scale-diagram.component.ts", "TypeScript", 417, 0, 0, 0, 59, 476
"c:\Code\angular\pdx-map\src\app\paradox\paradox.component.html", "HTML", 0, 0, 86, 1, 5, 92
"c:\Code\angular\pdx-map\src\app\paradox\paradox.component.scss", "SCSS", 0, 160, 0, 17, 28, 205
"c:\Code\angular\pdx-map\src\app\paradox\paradox.component.ts", "TypeScript", 163, 0, 0, 1, 24, 188
"c:\Code\angular\pdx-map\src\app\plot-view\PlotExportService.ts", "TypeScript", 196, 0, 0, 0, 48, 244
"c:\Code\angular\pdx-map\src\app\plot-view\PlottingService.ts", "TypeScript", 369, 0, 0, 36, 21, 426
"c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.html", "HTML", 0, 0, 17, 0, 0, 17
"c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.scss", "SCSS", 0, 47, 0, 0, 8, 55
"c:\Code\angular\pdx-map\src\app\plot-view\plot-view.component.ts", "TypeScript", 103, 0, 0, 3, 21, 127
"c:\Code\angular\pdx-map\src\app\plot-view\plot\Plotable.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.html", "HTML", 0, 0, 32, 0, 1, 33
"c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.scss", "SCSS", 0, 89, 0, 0, 15, 104
"c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Code\angular\pdx-map\src\app\resourcemap\resourcemap.component.ts", "TypeScript", 206, 0, 0, 0, 26, 232
"c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.html", "HTML", 0, 0, 51, 0, 0, 51
"c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.scss", "SCSS", 0, 102, 0, 0, 20, 122
"c:\Code\angular\pdx-map\src\app\save-view-splash\save-view-splash.component.ts", "TypeScript", 318, 0, 0, 10, 48, 376
"c:\Code\angular\pdx-map\src\app\save-view\save-view.component.html", "HTML", 0, 0, 75, 1, 0, 76
"c:\Code\angular\pdx-map\src\app\save-view\save-view.component.scss", "SCSS", 0, 79, 0, 0, 11, 90
"c:\Code\angular\pdx-map\src\app\save-view\save-view.component.ts", "TypeScript", 72, 0, 0, 0, 16, 88
"c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.html", "HTML", 0, 0, 11, 6, 0, 17
"c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.scss", "SCSS", 0, 57, 0, 0, 8, 65
"c:\Code\angular\pdx-map\src\app\saveana\ck3-save-view\ck3-save-view.component.ts", "TypeScript", 45, 0, 0, 0, 7, 52
